timestamp,frame_number,object_id,label,confidence,bbox_x,bbox_y,bbox_w,bbox_h,distance_mm,center_x,center_y
2025-09-08T00:56:23.222587,1,0,person,0.9392443299293518,392,115,99,143,909.16376,441,186
2025-09-08T00:56:23.222587,1,1,tvmonitor,0.9265620112419128,809,408,373,201,1025.476,995,508
2025-09-08T00:56:23.222587,1,2,person,0.9108365178108215,487,97,76,152,954.2564,525,173
2025-09-08T00:56:23.222587,1,3,person,0.8490282893180847,575,103,76,177,1001.45264,613,191
2025-09-08T00:56:23.222587,1,4,tvmonitor,0.7227814793586731,489,386,338,327,737.09827,658,549
2025-09-08T00:56:23.222587,1,5,person,0.6338473558425903,294,43,79,206,857.7567,333,146
2025-09-08T00:56:25.689390,1,6,tvmonitor,0.9645416140556335,449,274,327,195,1134.8108,612,371
2025-09-08T00:56:25.689390,1,7,tvmonitor,0.9563798308372498,5,269,467,424,660.9296,238,481
2025-09-08T00:56:25.689390,1,8,person,0.679298460483551,126,0,129,103,766.68146,190,51
2025-09-08T00:56:28.182996,1,9,person,0.9502779245376587,524,-1,95,138,872.7566,571,68
2025-09-08T00:56:28.182996,1,10,tvmonitor,0.914306104183197,625,288,348,302,792.4008,799,439
2025-09-08T00:56:28.182996,1,11,person,0.8922325372695923,425,-1,75,130,843.89856,462,64
2025-09-08T00:56:28.182996,1,12,tvmonitor,0.8705956935882568,929,297,354,200,951.4824,1106,397
2025-09-08T00:56:28.182996,1,13,person,0.8391066789627075,703,2,117,150,921.28394,761,77
2025-09-08T00:56:28.182996,1,14,person,0.8138170838356018,610,-2,87,126,889.7918,653,61
2025-09-08T00:56:28.182996,1,15,person,0.6188331246376038,762,-1,99,157,934.49854,811,77
