timestamp,frame_number,object_id,label,confidence,bbox_x,bbox_y,bbox_w,bbox_h,distance_mm,center_x,center_y
2025-09-07T23:51:04.401587,3,0,tvmonitor,0.412882924079895,17,81,622,358,644.67,328,260
2025-09-07T23:51:04.401587,3,1,tvmonitor,0.40042975544929504,670,153,535,296,705.81726,937,301
2025-09-07T23:51:04.401587,3,2,keyboard,0.32793065905570984,386,633,347,87,647.7763,559,676
2025-09-07T23:51:04.401587,3,3,person,0.319387823343277,911,643,286,78,587.3984,1054,682
2025-09-07T23:51:04.747548,4,4,keyboard,0.6801374554634094,372,623,361,97,657.66394,552,671
2025-09-07T23:51:04.747548,4,5,tvmonitor,0.6278389692306519,69,77,599,371,664.61804,368,262
2025-09-07T23:51:04.747548,4,6,tvmonitor,0.3877916634082794,654,145,566,297,715.17584,937,293
2025-09-07T23:51:04.747548,4,7,person,0.3062346875667572,905,642,295,78,531.8849,1052,681
2025-09-07T23:51:05.203591,1,8,tvmonitor,0.8619836568832397,-8,18,650,357,644.1918,317,196
2025-09-07T23:51:05.203591,1,9,tvmonitor,0.3051753640174866,638,127,576,269,726.16406,926,261
2025-09-07T23:51:05.677542,2,10,tvmonitor,0.7092772126197815,111,1,623,270,682.5637,422,136
2025-09-07T23:51:06.181580,3,11,keyboard,0.823377788066864,474,470,357,214,676.60925,652,577
2025-09-07T23:51:06.181580,3,12,tvmonitor,0.7229722738265991,240,-5,552,319,716.56573,516,154
2025-09-07T23:51:06.181580,3,13,person,0.4976082742214203,1031,532,242,188,503.83728,1152,626
2025-09-07T23:51:06.181580,3,14,tvmonitor,0.4815984070301056,765,-15,530,405,701.2095,1030,187
2025-09-07T23:51:06.658720,1,15,tvmonitor,0.7917450070381165,217,139,520,312,779.4778,477,295
2025-09-07T23:51:07.145833,2,16,tvmonitor,0.9062761664390564,206,224,524,304,765.2633,468,376
2025-09-07T23:51:07.145833,2,17,person,0.81220543384552,271,3,58,142,1003.01825,300,74
2025-09-07T23:51:07.145833,2,18,person,0.6134127378463745,341,17,77,122,999.31213,379,78
2025-09-07T23:51:07.145833,2,19,person,0.6097576022148132,511,-1,118,146,965.7958,570,72
2025-09-07T23:51:07.145833,2,20,person,0.36250337958335876,475,-1,77,144,982.1395,513,71
2025-09-07T23:51:07.632838,3,21,tvmonitor,0.9230195879936218,180,227,538,299,755.02155,449,376
2025-09-07T23:51:07.632838,3,22,person,0.8535636067390442,254,-4,63,149,996.7979,285,70
2025-09-07T23:51:07.632838,3,23,tvmonitor,0.5798245668411255,686,262,532,299,762.6635,952,411
2025-09-07T23:51:07.632838,3,24,person,0.5345685482025146,331,27,81,119,996.1926,371,86
2025-09-07T23:51:07.632838,3,25,person,0.3652231693267822,504,0,120,149,961.1909,564,74
2025-09-07T23:51:07.632838,3,26,person,0.3569481670856476,393,10,66,122,982.06067,426,71
2025-09-07T23:51:08.080491,1,27,tvmonitor,0.7588294148445129,83,158,580,319,730.9343,373,317
2025-09-07T23:51:08.080491,1,28,tvmonitor,0.6304315328598022,616,213,626,306,790.494,929,366
2025-09-07T23:51:08.080491,1,29,keyboard,0.33033061027526855,344,646,401,73,744.94617,544,682
2025-09-07T23:51:08.564488,2,30,keyboard,0.9334805011749268,260,564,374,162,704.9772,447,645
2025-09-07T23:51:08.564488,2,31,tvmonitor,0.7958966493606567,-14,74,598,336,703.0989,285,242
2025-09-07T23:51:09.016511,3,32,keyboard,0.8743062615394592,288,516,347,194,705.1762,461,613
2025-09-07T23:51:09.016511,3,33,tvmonitor,0.49093860387802124,1,32,610,352,704.0558,306,208
2025-09-07T23:51:09.488225,1,34,keyboard,0.9603910446166992,282,465,354,246,704.0293,459,588
2025-09-07T23:51:09.488225,1,35,tvmonitor,0.574714183807373,-17,12,657,332,695.0928,311,178
2025-09-07T23:51:09.488225,1,36,tvmonitor,0.41666650772094727,517,30,684,332,773.1071,859,196
2025-09-07T23:51:09.488225,1,37,laptop,0.3208294212818146,-62,-1,1198,505,813.3874,537,251
2025-09-07T23:51:09.957404,2,38,keyboard,0.9425103664398193,286,476,372,235,705.48944,472,593
2025-09-07T23:51:09.957404,2,39,tvmonitor,0.7860479950904846,-1,12,631,333,694.75604,314,178
2025-09-07T23:51:10.322331,3,40,tvmonitor,0.717219352722168,15,41,624,331,706.1462,327,206
2025-09-07T23:51:10.770143,1,41,tvmonitor,0.9355027675628662,29,40,608,318,738.25903,333,199
2025-09-07T23:51:10.770143,1,42,keyboard,0.8753370046615601,291,477,370,217,752.7104,476,585
2025-09-07T23:51:10.770143,1,43,tvmonitor,0.4126662313938141,582,74,669,311,798.7844,916,229
2025-09-07T23:51:11.229259,2,44,keyboard,0.9370677471160889,293,481,356,215,758.4699,471,588
2025-09-07T23:51:11.229259,2,45,tvmonitor,0.8307554721832275,28,52,609,313,744.85345,332,208
2025-09-07T23:51:11.229259,2,46,mouse,0.5897990465164185,158,653,140,64,526.98035,228,685
2025-09-07T23:51:11.658420,3,47,tvmonitor,0.9113996028900146,42,40,591,318,744.22906,337,199
2025-09-07T23:51:11.658420,3,48,keyboard,0.8257962465286255,303,478,348,210,757.0236,477,583
2025-09-07T23:51:12.081617,1,49,tvmonitor,0.9215842485427856,30,47,596,317,742.41614,328,205
2025-09-07T23:51:12.081617,1,50,keyboard,0.8891655802726746,303,481,341,215,756.3977,473,588
2025-09-07T23:51:12.479502,2,51,tvmonitor,0.9244444370269775,34,44,596,312,746.7615,332,200
2025-09-07T23:51:12.479502,2,52,keyboard,0.9006032943725586,315,474,326,218,759.9536,478,583
2025-09-07T23:51:12.887069,3,53,tvmonitor,0.9221035242080688,41,28,591,315,741.36505,336,185
2025-09-07T23:51:12.887069,3,54,keyboard,0.90073162317276,306,475,335,210,756.108,473,580
2025-09-07T23:51:12.887069,3,55,mouse,0.5220018029212952,169,637,120,75,523.7939,229,674
2025-09-07T23:51:12.887069,3,56,cell phone,0.3216807544231415,627,508,53,65,782.4788,653,540
2025-09-07T23:51:13.286438,1,57,tvmonitor,0.9712028503417969,27,21,609,307,734.0769,331,174
2025-09-07T23:51:13.286438,1,58,keyboard,0.8061155676841736,313,473,319,204,751.54987,472,575
2025-09-07T23:51:13.286438,1,59,chair,0.37991824746131897,973,594,274,125,396.101,1110,656
